airline_price,season,competitor_price,days_before_departure,demand
130,high,123.91,341,124.0
160,low,165.78,243,68.0
150,high,119.71,321,54.0
140,high,126.32,106,49.0
180,shoulder,160.21,245,36.0
190,low,190.76,73,21.0
110,high,147.88,290,180.0
170,low,178.67,3,38.0
190,shoulder,173.1,215,33.0
200,low,197.37,221,24.0
200,shoulder,198.66,22,41.0
160,low,167.53,206,80.0
200,low,205.37,298,66.0
180,shoulder,166.85,188,38.0
100,shoulder,77.2,179,51.0
150,shoulder,158.17,169,68.0
100,high,113.39,80,134.0
190,low,180.68,80,17.0
160,shoulder,158.82,138,57.0
120,shoulder,117.64,206,94.0
100,low,102.85,244,113.0
150,shoulder,162.29,86,81.0
120,high,109.9,316,121.0
160,shoulder,177.73,342,121.0
200,shoulder,177.33,282,28.0
130,low,108.43,16,7.0
170,low,195.61,72,58.0
100,high,90.84,47,65.0
190,shoulder,179.63,235,46.0
100,shoulder,91.76,285,113.0
130,low,140.6,312,117.0
120,high,106.61,157,85.0
130,shoulder,148.14,288,162.0
110,high,118.1,177,135.0
130,low,122.88,42,31.0
200,high,205.73,205,81.0
110,high,106.83,32,62.0
130,high,124.63,217,90.0
170,high,184.4,283,117.0
200,high,228.95,171,114.0
110,low,108.24,35,36.0
170,high,154.34,113,46.0
140,low,174.57,225,121.0
100,high,111.1,212,161.0
150,high,145.78,34,45.0
110,low,126.46,350,143.0
150,low,163.13,329,98.0
190,high,177.71,65,48.0
190,high,199.45,328,117.0
140,shoulder,149.57,229,119.0
100,high,98.09,267,142.0
190,high,198.59,1,50.0
180,high,185.12,243,91.0
180,low,211.59,149,88.0
160,low,133.44,1,4.0
180,high,156.48,147,42.0
160,low,175.61,178,66.0
200,shoulder,194.16,118,53.0
130,high,167.18,126,159.0
110,shoulder,97.22,138,56.0
120,high,122.63,215,154.0
150,high,131.38,276,66.0
120,shoulder,129.22,285,130.0
150,high,196.88,64,133.0
160,low,169.82,311,99.0
170,shoulder,201.43,262,123.0
140,low,155.72,308,116.0
130,high,120.09,300,125.0
150,shoulder,120.32,170,31.0
160,low,182.65,54,69.0
140,shoulder,148.58,280,126.0
160,high,156.49,4,36.0
120,high,99.24,224,85.0
200,shoulder,211.09,259,94.0
140,shoulder,161.13,146,109.0
120,shoulder,151.78,14,82.0
170,low,178.7,285,87.0
190,high,173.39,100,38.0
170,high,167.54,203,91.0
170,low,177.6,308,77.0
120,low,119.57,344,100.0
190,low,182.42,309,67.0
170,low,169.98,54,28.0
140,high,128.58,163,74.0
190,low,182.68,102,53.0
100,high,103.32,60,104.0
190,high,189.77,103,51.0
120,low,96.46,209,48.0
190,shoulder,184.48,188,63.0
200,shoulder,246.64,67,41.0
110,shoulder,100.65,339,117.0
120,high,134.67,41,109.0
190,shoulder,192.3,344,102.0
110,low,95.28,346,86.0
150,low,144.6,24,45.0
170,low,192.43,298,116.0
140,low,142.73,85,56.0
170,low,158.49,152,42.0
170,low,164.89,316,71.0
110,high,115.59,246,171.0
200,high,204.59,151,53.0
140,high,161.59,155,143.0
100,high,104.29,159,143.0
150,shoulder,181.56,257,153.0
140,low,130.2,321,67.0
190,low,201.68,91,54.0
120,high,109.76,350,128.0
190,shoulder,190.7,152,68.0
110,low,98.84,192,69.0
130,low,134.66,294,118.0
150,shoulder,145.76,312,79.0
190,high,213.81,83,79.0
130,high,114.79,15,50.0
200,high,220.6,52,53.0
100,low,109.87,353,159.0
140,low,148.34,285,92.0
140,low,133.55,55,44.0
100,high,101.4,318,180.0
160,low,155.65,260,75.0
180,low,171.2,340,60.0
140,low,141.86,338,103.0
180,shoulder,170.19,160,18.0
110,shoulder,124.07,101,104.0
180,low,192.59,70,55.0
190,low,179.99,276,49.0
180,low,185.13,344,90.0
120,shoulder,105.04,301,105.0
100,high,86.6,191,93.0
120,high,155.47,168,180.0
120,shoulder,92.08,138,34.0
130,low,120.46,42,48.0
120,high,109.62,273,111.0
190,low,187.22,245,43.0
170,high,141.54,256,29.0
140,high,148.71,19,49.0
180,low,180.4,317,82.0
110,shoulder,120.75,118,110.0
190,high,199.23,107,66.0
200,high,183.64,29,28.0
120,shoulder,97.38,150,54.0
170,high,187.0,143,85.0
140,shoulder,155.34,236,119.0
130,shoulder,125.18,335,129.0
120,shoulder,111.92,237,84.0
150,low,148.74,311,101.0
150,high,144.04,236,70.0
110,low,105.21,33,57.0
100,shoulder,114.23,319,180.0
180,shoulder,171.9,158,51.0
140,low,135.55,51,31.0
100,shoulder,98.92,232,138.0
100,low,120.99,201,136.0
110,low,120.78,117,72.0
100,shoulder,87.04,49,66.0
130,low,129.3,259,66.0
190,shoulder,178.74,327,79.0
110,high,100.47,50,65.0
190,shoulder,179.78,152,45.0
130,shoulder,107.48,354,77.0
170,high,164.47,70,61.0
190,shoulder,184.71,219,58.0
130,shoulder,131.91,79,69.0
140,low,147.76,143,76.0
140,low,151.22,110,62.0
110,low,97.86,21,35.0
110,high,100.51,289,120.0
160,high,153.3,159,76.0
120,low,109.7,342,85.0
190,shoulder,193.14,82,41.0
180,high,187.2,331,122.0
170,low,172.08,335,65.0
180,low,168.15,96,35.0
100,high,94.21,179,128.0
180,high,188.36,312,108.0
170,low,175.15,133,54.0
190,shoulder,191.01,312,67.0
150,high,140.76,131,54.0
160,high,146.34,346,91.0
130,high,162.57,134,148.0
190,shoulder,189.24,344,91.0
140,high,163.29,131,122.0
170,high,181.94,93,64.0
170,shoulder,161.82,245,64.0
110,low,81.94,87,32.0
170,low,161.56,254,55.0
120,shoulder,93.25,207,42.0
150,shoulder,151.06,74,71.0
120,shoulder,112.88,356,102.0
170,high,173.78,199,80.0
120,high,103.34,140,58.0
160,shoulder,158.65,183,83.0
180,shoulder,167.45,49,45.0
160,low,153.78,198,49.0
110,low,122.8,85,74.0
190,high,199.21,270,103.0
130,high,126.42,198,116.0
130,high,114.17,237,72.0
200,shoulder,206.5,135,56.0
140,high,166.46,363,180.0
200,low,217.96,114,51.0
190,shoulder,175.77,195,34.0
170,low,162.97,253,67.0
120,high,101.1,1,40.0
180,low,203.7,143,54.0
110,high,101.66,204,109.0
190,shoulder,199.75,295,90.0
140,low,152.57,292,124.0
200,shoulder,227.45,118,84.0
130,high,134.04,199,111.0
110,high,82.27,273,86.0
100,high,88.75,63,87.0
170,high,165.98,80,49.0
180,shoulder,189.47,23,48.0
100,high,98.69,174,129.0
190,high,188.96,38,65.0
200,low,197.48,272,43.0
130,high,139.74,183,130.0
190,low,199.31,262,77.0
130,high,132.17,53,83.0
190,high,207.4,306,125.0
100,high,84.18,216,99.0
150,low,153.97,361,95.0
190,low,179.88,278,54.0
120,shoulder,139.81,249,135.0
130,low,115.6,286,71.0
110,low,97.89,161,41.0
200,low,195.08,311,52.0
170,low,183.76,217,68.0
110,shoulder,105.25,347,151.0
140,high,153.84,144,115.0
170,high,156.61,251,58.0
130,shoulder,159.03,136,129.0
180,shoulder,193.8,324,116.0
140,high,155.99,210,143.0
150,low,120.88,108,20.0
130,high,108.88,351,112.0
180,shoulder,205.09,25,34.0
180,shoulder,197.04,35,47.0
180,low,185.16,363,67.0
110,high,100.29,318,147.0
130,high,114.58,313,97.0
160,high,131.94,98,27.0
180,high,189.92,93,65.0
190,shoulder,162.93,9,20.0
110,low,127.48,114,73.0
150,shoulder,159.96,14,42.0
180,shoulder,182.34,127,59.0
140,low,146.2,203,84.0
110,shoulder,128.17,172,135.0
110,low,107.36,96,64.0
110,shoulder,124.14,76,96.0
120,shoulder,129.5,362,180.0
130,low,128.29,94,56.0
140,shoulder,146.87,99,80.0
120,low,110.77,51,51.0
110,shoulder,115.78,339,171.0
190,low,194.37,302,73.0
140,high,136.64,315,139.0
100,low,116.34,130,103.0
100,high,115.17,203,180.0
120,high,136.87,86,119.0
110,high,81.94,346,73.0
200,low,202.64,298,77.0
120,low,108.35,319,72.0
150,low,145.44,242,55.0
190,shoulder,171.39,311,53.0
180,shoulder,172.39,307,88.0
180,shoulder,174.68,276,60.0
170,shoulder,154.31,3,21.0
150,high,155.91,200,97.0
170,low,164.82,217,46.0
200,high,219.7,348,129.0
100,shoulder,124.12,211,180.0
100,low,96.71,327,122.0
160,shoulder,154.77,99,27.0
160,high,164.52,192,87.0
110,low,106.62,302,87.0
190,shoulder,180.06,139,37.0
140,high,153.68,308,168.0
160,shoulder,177.86,334,131.0
170,low,168.35,125,49.0
120,shoulder,114.62,84,73.0
100,high,108.55,274,180.0
170,shoulder,175.88,61,47.0
100,low,106.15,87,79.0
120,high,130.62,301,180.0
180,high,163.49,225,63.0
140,high,163.47,354,180.0
180,low,188.43,61,41.0
130,low,118.94,299,74.0
120,shoulder,111.16,71,52.0
140,low,146.87,296,97.0
170,low,170.08,88,43.0
170,high,168.19,246,88.0
200,shoulder,194.7,337,69.0
200,low,223.3,205,82.0
100,high,101.13,41,67.0
200,high,214.94,127,67.0
110,shoulder,108.16,141,93.0
110,low,125.0,306,151.0
100,shoulder,93.84,70,96.0
100,high,102.58,361,180.0
100,low,112.66,210,139.0
110,shoulder,127.65,338,180.0
200,high,208.08,89,60.0
110,shoulder,117.08,160,103.0
190,high,190.19,317,111.0
140,shoulder,141.39,202,92.0
190,shoulder,182.57,299,51.0
190,shoulder,175.47,178,49.0
150,shoulder,154.45,101,68.0
120,low,119.97,102,55.0
140,high,155.45,154,115.0
110,low,141.34,81,113.0
100,high,97.14,183,142.0
130,high,106.23,238,66.0
150,high,187.67,333,180.0
120,high,101.41,108,62.0
200,shoulder,181.64,311,56.0
130,shoulder,124.97,157,74.0
130,high,136.9,150,96.0
150,low,140.39,17,14.0
140,low,166.44,238,110.0
150,shoulder,148.71,17,53.0
200,shoulder,224.54,345,122.0
140,shoulder,131.84,275,65.0
100,shoulder,84.25,282,87.0
150,shoulder,153.82,30,51.0
160,high,133.75,113,29.0
170,high,178.27,124,91.0
200,high,221.19,117,98.0
130,high,149.83,79,117.0
110,high,77.83,2,35.0
150,shoulder,165.36,176,86.0
140,high,152.36,85,82.0
150,high,140.48,7,34.0
190,high,156.72,95,13.0
110,shoulder,95.49,312,101.0
170,shoulder,179.07,24,41.0
160,high,188.95,137,134.0
130,shoulder,117.65,138,43.0
130,high,134.68,192,131.0
200,shoulder,188.22,62,42.0
100,high,111.1,255,180.0
200,high,193.45,114,52.0
100,high,79.22,216,81.0
120,shoulder,119.18,112,90.0
130,shoulder,118.62,0,39.0
110,shoulder,100.05,18,56.0
160,high,156.53,92,56.0
110,low,114.7,83,68.0
130,low,136.16,331,116.0
200,shoulder,214.45,205,98.0
150,low,168.22,169,74.0
160,high,140.48,327,88.0
190,shoulder,213.96,99,66.0
120,shoulder,108.95,125,65.0
160,low,170.59,20,37.0
160,shoulder,144.53,82,49.0
190,shoulder,206.37,212,95.0
200,low,207.43,198,58.0
200,low,219.9,125,67.0
170,shoulder,182.62,94,57.0
180,high,181.39,3,44.0
190,low,206.35,140,66.0
110,shoulder,141.04,312,180.0
130,low,144.37,120,81.0
160,high,152.61,12,42.0
160,high,147.7,264,91.0
120,high,105.21,312,98.0
120,low,95.92,362,63.0
140,low,162.32,12,59.0
200,high,213.62,54,52.0
190,high,153.64,212,36.0
130,shoulder,135.01,294,137.0
180,low,187.13,111,43.0
170,low,173.09,249,81.0
150,high,153.19,205,106.0
110,high,139.52,255,180.0
200,shoulder,231.07,306,117.0
130,high,112.67,14,40.0
110,low,97.07,326,76.0
130,low,117.68,214,67.0
100,shoulder,89.98,258,131.0
120,low,114.48,308,81.0
100,shoulder,100.3,310,144.0
130,low,117.65,254,64.0
150,shoulder,147.52,305,103.0
120,shoulder,130.81,188,103.0
200,low,219.44,34,30.0
160,high,152.08,111,46.0
160,shoulder,153.05,166,64.0
160,shoulder,157.74,68,59.0
140,shoulder,122.91,297,93.0
110,shoulder,95.68,136,56.0
100,shoulder,100.78,271,146.0
170,shoulder,167.79,214,72.0
140,high,134.24,230,104.0
200,low,218.14,39,58.0
200,low,203.21,264,44.0
110,high,108.29,252,162.0
180,low,194.17,116,53.0
150,low,147.25,144,57.0
190,shoulder,215.71,47,65.0
160,low,160.37,81,55.0
120,shoulder,126.81,28,62.0
180,low,184.08,23,17.0
200,shoulder,204.59,166,52.0
170,shoulder,164.14,75,31.0
190,high,196.36,344,128.0
200,shoulder,203.13,329,84.0
170,low,176.44,156,44.0
170,shoulder,190.37,342,130.0
130,high,127.52,194,102.0
160,low,159.39,218,59.0
150,high,177.55,286,164.0
160,shoulder,128.8,74,11.0
180,high,179.43,334,97.0
160,shoulder,150.02,246,78.0
150,high,146.91,291,102.0
190,low,200.59,96,47.0
110,high,70.81,288,27.0
190,low,189.62,223,46.0
120,high,117.33,78,75.0
200,high,199.03,129,49.0
110,low,91.93,263,58.0
190,high,131.79,75,0.0
110,high,124.62,293,180.0
150,high,156.23,79,72.0
100,high,126.28,349,180.0
120,low,127.28,88,74.0
130,low,127.44,229,75.0
180,shoulder,191.23,299,98.0
180,low,189.45,115,42.0
110,low,122.17,236,116.0
130,shoulder,162.01,229,162.0
170,high,173.58,16,58.0
130,shoulder,156.98,281,164.0
150,shoulder,125.93,295,43.0
110,high,111.78,357,180.0
150,high,161.43,151,92.0
200,high,227.55,98,87.0
160,low,151.62,200,43.0
190,shoulder,187.25,158,45.0
150,shoulder,135.16,326,72.0
100,high,111.63,12,100.0
110,high,101.1,49,48.0
130,low,148.13,116,81.0
150,shoulder,126.17,136,38.0
180,high,161.45,159,34.0
190,shoulder,209.11,232,83.0
190,high,190.92,359,102.0
170,low,175.82,140,61.0
180,shoulder,152.09,166,34.0
180,shoulder,168.27,153,48.0
190,shoulder,184.47,29,24.0
140,high,157.07,219,147.0
140,high,138.24,304,127.0
110,low,121.62,196,120.0
150,high,152.72,80,75.0
140,low,126.26,361,62.0
160,shoulder,165.93,338,111.0
200,high,197.26,274,97.0
180,low,168.15,331,52.0
170,shoulder,188.47,197,88.0
190,shoulder,185.86,210,56.0
140,low,141.03,239,91.0
110,shoulder,123.67,273,180.0
170,high,173.1,192,70.0
170,low,159.55,93,33.0
100,shoulder,70.68,286,72.0
140,shoulder,134.55,282,95.0
160,high,145.33,350,87.0
200,high,213.16,53,56.0
110,low,103.81,97,31.0
190,low,158.03,56,27.0
110,low,131.06,10,53.0
110,high,87.81,68,62.0
190,shoulder,181.84,310,61.0
100,shoulder,94.12,293,133.0
180,high,175.97,263,83.0
110,shoulder,125.52,189,137.0
130,high,119.26,6,65.0
200,shoulder,205.61,30,33.0
170,shoulder,150.12,342,47.0
120,shoulder,139.15,334,174.0
180,shoulder,195.62,167,80.0
130,low,131.79,65,58.0
120,shoulder,119.32,196,96.0
120,shoulder,125.08,341,134.0
130,shoulder,126.79,214,100.0
140,low,129.13,110,40.0
110,high,110.48,88,80.0
160,high,170.15,171,112.0
130,shoulder,136.72,14,50.0
200,low,205.31,102,38.0
150,shoulder,176.95,169,129.0
120,shoulder,109.74,196,77.0
140,high,127.87,59,57.0
120,low,110.64,118,55.0
110,shoulder,111.26,170,117.0
130,high,149.92,275,180.0
190,low,182.87,36,23.0
170,shoulder,168.35,59,43.0
190,high,195.49,8,39.0
170,high,159.46,113,45.0
120,shoulder,101.94,28,43.0
150,low,133.85,221,58.0
170,low,156.38,164,38.0
200,shoulder,214.35,185,77.0
150,low,129.82,18,23.0
180,shoulder,167.09,276,57.0
150,high,136.99,121,56.0
100,low,104.85,333,134.0
140,low,127.68,52,15.0
100,shoulder,68.17,109,36.0
190,high,208.0,216,113.0
130,shoulder,123.76,52,49.0
110,low,113.73,13,65.0
100,low,106.12,119,87.0
100,shoulder,117.32,241,166.0
160,high,170.11,331,152.0
140,high,125.55,48,36.0
130,low,140.47,290,101.0
140,high,141.93,200,106.0
200,low,196.06,27,23.0
110,shoulder,114.07,101,84.0
180,shoulder,176.39,181,61.0
160,low,138.07,177,27.0
180,shoulder,195.33,31,46.0
170,shoulder,181.24,324,101.0
110,shoulder,93.65,307,113.0
150,shoulder,168.16,42,68.0
170,high,195.96,207,122.0
190,shoulder,175.24,323,69.0
110,high,116.64,200,130.0
150,low,147.42,290,71.0
160,low,174.29,160,80.0
150,high,148.85,260,95.0
110,shoulder,121.98,292,179.0
160,low,146.58,315,50.0
100,shoulder,104.6,132,125.0
190,shoulder,172.2,314,59.0
120,shoulder,96.67,109,47.0
120,low,117.58,57,57.0
110,high,137.27,205,180.0
140,shoulder,140.35,147,68.0
190,low,206.25,342,110.0
190,high,189.31,361,100.0
160,high,164.5,142,97.0
160,low,170.0,144,57.0
120,low,120.49,344,93.0
140,low,104.99,253,25.0
110,shoulder,114.16,135,101.0
150,shoulder,124.32,151,33.0
150,shoulder,182.82,281,160.0
150,shoulder,160.07,211,84.0
150,low,152.15,214,80.0
180,shoulder,185.19,196,65.0
160,shoulder,174.92,96,58.0
170,low,180.53,188,56.0
120,low,129.42,35,41.0
130,low,129.24,135,61.0
190,low,187.52,202,52.0
170,shoulder,167.17,282,88.0
120,shoulder,118.62,44,54.0
110,high,91.34,221,79.0
110,shoulder,117.31,348,179.0
190,high,200.59,210,88.0
160,high,173.34,104,87.0
150,low,165.11,159,87.0
190,high,175.19,22,38.0
120,shoulder,106.54,205,70.0
110,high,115.56,48,92.0
130,high,127.33,102,89.0
180,high,174.03,222,73.0
130,shoulder,141.51,327,146.0
180,high,205.17,353,163.0
170,high,179.88,111,55.0
130,high,135.74,323,163.0
180,shoulder,163.52,279,57.0
100,high,83.36,91,58.0
200,high,179.08,200,39.0
150,shoulder,167.68,246,121.0
100,shoulder,92.07,279,122.0
190,high,200.2,20,56.0
190,shoulder,208.79,136,69.0
170,low,180.06,191,62.0
200,high,176.9,3,40.0
200,low,217.83,118,50.0
140,high,135.2,50,63.0
150,low,131.14,79,14.0
160,low,166.08,308,97.0
130,shoulder,136.46,94,69.0
180,high,198.64,311,144.0
110,high,98.67,218,108.0
170,shoulder,175.9,10,45.0
140,high,126.37,98,46.0
110,shoulder,132.5,264,180.0
190,high,184.56,63,39.0
120,low,110.67,106,48.0
140,high,123.29,222,72.0
130,high,101.99,104,34.0
130,low,130.88,183,67.0
190,low,180.47,179,38.0
140,shoulder,135.88,54,50.0
120,shoulder,126.55,130,92.0
160,shoulder,153.72,51,42.0
100,low,100.62,347,133.0
150,low,137.87,90,39.0
140,shoulder,139.34,238,107.0
160,low,164.22,33,50.0
160,shoulder,145.9,198,51.0
160,low,189.71,157,66.0
130,low,151.79,251,125.0
180,shoulder,184.04,143,67.0
200,high,204.31,342,89.0
180,shoulder,162.43,197,42.0
180,shoulder,162.59,81,21.0
150,high,153.55,14,43.0
170,shoulder,158.66,210,63.0
190,low,180.57,136,33.0
190,high,199.13,229,100.0
100,high,74.95,272,112.0
170,low,191.84,44,55.0
180,low,186.08,18,31.0
140,shoulder,165.98,351,180.0
160,low,145.96,51,31.0
150,shoulder,144.24,327,83.0
170,low,182.43,71,38.0
150,low,138.51,297,65.0
190,high,220.54,287,145.0
120,low,120.67,151,82.0
160,high,150.21,239,99.0
130,high,119.8,225,95.0
100,high,86.91,345,139.0
180,high,170.26,13,9.0
110,high,93.8,279,103.0
160,shoulder,158.4,199,76.0
200,shoulder,208.79,277,101.0
100,high,133.26,16,127.0
130,high,143.48,120,104.0
170,high,208.26,167,143.0
200,low,202.47,140,28.0
200,low,202.92,325,65.0
200,shoulder,187.94,325,44.0
150,low,144.53,361,76.0
200,high,202.33,325,111.0
100,shoulder,96.28,67,70.0
180,shoulder,170.73,75,31.0
190,high,200.67,355,112.0
180,high,182.25,20,55.0
150,low,146.39,86,36.0
110,low,97.12,364,90.0
200,high,211.48,356,115.0
190,shoulder,200.08,100,43.0
140,low,140.42,251,77.0
160,shoulder,156.58,94,52.0
120,low,91.2,357,41.0
160,low,157.22,274,64.0
130,low,127.77,309,72.0
200,shoulder,218.63,8,39.0
130,high,145.44,62,87.0
170,high,175.94,113,72.0
130,low,116.71,135,53.0
120,high,126.44,182,132.0
180,low,190.38,331,94.0
150,high,153.64,345,149.0
120,high,142.86,7,109.0
140,low,144.56,203,83.0
200,low,198.32,164,40.0
180,shoulder,175.55,241,83.0
100,low,102.23,55,58.0
150,low,161.48,225,91.0
120,high,131.69,164,140.0
130,high,152.05,17,86.0
170,high,172.6,248,102.0
120,low,121.6,46,41.0
160,low,147.72,141,42.0
110,high,120.07,272,180.0
120,low,121.31,184,70.0
140,low,153.15,52,61.0
200,shoulder,196.0,246,66.0
170,high,202.3,265,155.0
120,low,138.74,300,129.0
130,shoulder,133.63,323,126.0
150,high,137.51,235,69.0
200,shoulder,236.81,223,103.0
180,shoulder,160.61,97,14.0
140,high,145.3,47,77.0
130,shoulder,128.53,193,105.0
150,shoulder,157.37,290,101.0
180,low,172.27,258,45.0
100,high,115.48,135,141.0
150,high,145.43,48,55.0
130,low,111.4,259,54.0
150,high,143.47,112,65.0
130,high,121.42,264,111.0
150,shoulder,144.78,43,27.0
160,shoulder,150.3,122,41.0
110,low,94.1,18,29.0
110,shoulder,116.02,1,63.0
200,low,187.95,320,45.0
130,high,125.13,43,67.0
200,high,210.51,77,57.0
110,low,121.48,208,139.0
170,shoulder,162.38,129,47.0
130,high,129.63,217,113.0
